species,F.BIO.I,LAT.SPR,FLO.ST,FLO.PER,C....,S....,R....,Var.19,LNC.n,LNC.med,LNC.se,LCC.n,LCC.med,LCC.se,CN.n,CN.med,CN.se,LA.n,LA.med,LA.se,LDW.n,LDW.med,LDW.se,LFW.n,LFW.med,LFW.se,SLA.n,SLA.med,SLA.se,LDMC.n,LDMC.med,LDMC.se,KOE.n,KOE.med,KOE.se,CAN.n,CAN.med,CAN.se,Plant.Growth.Form,lnc_cv,lcc_cv,cn_cv,la_cv,ldw_cv,lfw_cv,sla_cv,ldmc.cv,can_cv
Senecio.doronicum,3-H,3,5,1,87.82,0,12.18,C,3,2.7,0.1,3,41.1,0.2,3,15.2,0.5,12,5919,228,12,485,28,12,3275,149,12,12,0.05,12,15,1,12,5,0,1,450,NA,forb,0.06415003,0.008428471,0.056975356,0.133437264,0.199989372,0.157603402,0.014433757,0.230940108,NA
Senecio.incanus.carniolicus,3-H,3,5,1,18.33,81.67,0,S/CS,0,NA,NA,0,NA,NA,0,NA,NA,6,96,9,6,11,1,6,51,4,6,9,0.05,6,21,1,6,4,0,6,38,1,forb,NA,NA,NA,0.229639663,0.222680886,0.192116843,0.013608276,0.116642369,0.064460256
Senecio.incanus.incanus,3-H,3,5,1,18.98,79.41,1.61,S/CS,3,1.7,0.05,3,48.8,0.1,3,28.1,0.5,5,179,27,5,18,3,5,75,11,5,10,1,5,25,2,5,3,0,5,46,5,forb,0.050942671,0.003549284,0.030819409,0.337283997,0.372677996,0.327956637,0.223606798,0.178885438,0.243050867
Sibbaldia.procumbens,3-H,3,6,1,7.28,73.23,19.48,S/SR,0,NA,NA,0,NA,NA,0,NA,NA,6,143,17,6,10,1,6,27,3,6,15,1,6,35,1,6,1,0,6,18,2,forb,NA,NA,NA,0.291198081,0.244948974,0.272165527,0.163299316,0.069985421,0.272165527
Silene.acaulis,7-Ch,3,5,1,0,46.02,53.98,SR,3,1.1,0.05,3,44.9,0.4,3,41,0.7,5,4,0.05,5,0,0.05,5,1,0.05,5,28,1,5,26,1,5,1,0,5,8,1,forb,0.078729582,0.015430297,0.029571599,0.02795085,NA,0.111803399,0.079859571,0.086002615,0.279508497
Silene.rupestris,2-Hb,1,4,2,2.67,43.17,54.16,SR,3,1.4,0.1,3,51,0.3,3,37.2,2.5,18,43,2,18,2,0.05,18,10,1,18,21,1,18,22,1,18,2,0,5,101,11,forb-biennial,0.123717915,0.010188534,0.116401264,0.197332125,0.106066017,0.424264069,0.202030509,0.192847304,0.243532156
Soldanella.alpina,3-H,2,3,2,16.92,57,26.08,S/CSR,3,2,0.05,3,47.9,0.05,3,24.4,0.1,5,280,54,5,19,3,5,75,13,5,15,1,5,26,1,5,2,0,1,37,NA,forb,0.04330127,0.001807986,0.007098569,0.431241681,0.353063365,0.387585116,0.149071198,0.086002615,NA
Soldanella.pusilla,3-H,3,4,1,6.85,61.66,31.48,S/SR,3,2,0.05,3,48.8,0.1,3,23.9,0.2,10,95,8,10,6,1,10,23,2,10,17,1,10,27,3,10,2,0,5,11,2,forb,0.04330127,0.003549284,0.014494149,0.266297066,0.527046277,0.274980666,0.186016333,0.351364184,0.406557814
Solidago.virgaurea,3-H,3,5,2,24.28,46.06,29.65,S/CSR,3,3.3,0.1,3,49.3,0.2,3,15.1,0.3,6,874,41,6,46,2,6,166,11,6,19,0.05,6,28,1,6,1,0,6,310,17,forb,0.052486388,0.007026575,0.034411605,0.114907414,0.106499554,0.162315585,0.006446026,0.087481777,0.134326857
Taraxacum.alpestre,3-H,3,4,1,17.47,53.69,28.85,S/CSR,0,NA,NA,0,NA,NA,0,NA,NA,6,191,15,6,14,1,6,63,8,6,14,1,6,23,1,6,3,0,6,38,3,forb,NA,NA,NA,0.192368304,0.174963553,0.311046317,0.174963553,0.106499554,0.193380769
Taraxacum.apenninum,3-H,3,5,1,30.07,0,69.93,R/CR,0,NA,NA,0,NA,NA,0,NA,NA,20,622,57,20,22,2,20,159,18,20,28,1,20,14,0.05,20,2,0,20,14,1,forb,NA,NA,NA,0.409825964,0.406557814,0.506279542,0.159719141,0.015971914,0.319438282
Taraxacum.schroeteranum,3-H,3,4,1,20.08,0,79.92,R/CR,0,NA,NA,0,NA,NA,0,NA,NA,6,368,34,6,10,1,6,77,8,6,36,2,6,13,1,6,2,0,6,36,3,forb,NA,NA,NA,0.226311552,0.244948974,0.254492441,0.136082763,0.188422288,0.204124145
Trifolium.alpinum,3-H,3,4,2,13.94,50.26,35.8,SR/CSR,3,4.7,0.05,3,50.8,0.1,3,10.7,0.05,6,397,69,6,17,3,6,58,11,6,24,1,6,29,1,6,1,0,6,126,9,forb,0.018426072,0.003409549,0.008093695,0.425729955,0.432262896,0.464558399,0.102062073,0.084465164,0.174963553
Trifolium.badium,3-H,3,5,1,16.14,43.9,39.95,SR/CSR,3,2.6,0.1,3,45.7,0.2,3,17.8,0.6,5,299,37,5,15,2,5,65,11,5,20,1,5,24,0.05,5,2,0,5,155,15,forb,0.066617339,0.007580091,0.058383735,0.276704064,0.298142397,0.378411504,0.111803399,0.004658475,0.216393675
Trifolium.pallescens,3-H,3,5,1,9.1,65.17,25.73,S/SR,3,2.4,0.05,3,42.7,0.4,3,17.5,0.4,5,99,6,5,7,1,5,30,2,5,14,1,5,24,1,5,2,0,5,32,2,forb,0.036084392,0.0162253,0.039589733,0.135519271,0.319438282,0.149071198,0.159719141,0.093169499,0.139754249
Trifolium.pratense,3-H,3,3,4,16.83,44.68,38.49,SR/CSR,0,NA,NA,0,NA,NA,0,NA,NA,6,360,26,6,18,2,6,72,7,6,21,1,6,25,1,6,2,0,6,65,1,forb,NA,NA,NA,0.176907593,0.272165527,0.238144836,0.116642369,0.09797959,0.037684458
Trifolium.thalii,3-H,3,5,1,20.7,29.99,49.31,R/CSR,3,2.4,0.05,3,40.2,0.1,3,16.8,0.1,14,265,11,14,15,1,14,75,4,14,18,0.05,14,20,0.05,14,2,0,1,100,NA,forb,0.036084392,0.004308584,0.010309826,0.15531408,0.249443826,0.199555061,0.010393493,0.009354143,NA
Trisetum.spicatum,3-H,4,5,1,5.48,72.75,21.77,S/SR,0,NA,NA,0,NA,NA,0,NA,NA,10,95,15,10,6,1,10,19,3,10,15,0.05,10,33,1,10,1,0,10,66,6,graminoid,NA,NA,NA,0.499306999,0.527046277,0.499306999,0.010540926,0.095826596,0.287479787
Tussilago.farfara,4-G,3,1,3,57.82,0,42.18,CR,3,3.2,0.1,3,39.5,0.2,3,12.3,0.5,5,1548,185,5,90,12,5,620,71,5,17,1,5,14,1,5,3,0,5,102,15,forb,0.054126588,0.008769878,0.070408569,0.267230346,0.298142397,0.256065849,0.13153341,0.159719141,0.328833526
Vaccinium.gaultherioides,8-NP,6,4,1,6.63,54.13,39.23,SR,3,3.8,0.05,3,46.6,0.05,3,12.4,0.1,14,120,5,14,6,0.05,14,20,1,14,22,1,14,28,1,14,1,0,1,150,NA,shrub (sub-),0.022790142,0.001858424,0.013968152,0.155902391,0.031180478,0.187082869,0.170075336,0.133630621,NA
Vaccinium.myrtillus,8-NP,6,3,2,13.22,43.88,42.9,SR/CSR,3,1.8,0.05,3,52.5,0.05,3,29,0.3,10,399,18,10,14,1,10,48,3,10,30,1,10,28,1,10,1,0,5,205,14,shrub (sub-),0.048112522,0.001649572,0.017917767,0.142659143,0.225876976,0.197642354,0.105409255,0.112938488,0.152707081
Vaccinium.vitis.idaea,8-NP,6,4,1,9.76,90.24,0,S,3,0.9,0.05,3,49.1,0.1,3,52.8,0.6,13,253,18,13,43,3,13,89,6,13,6,0.05,13,48,1,13,2,0,1,200,NA,shrub (sub-),0.096225045,0.003527598,0.019682396,0.256521435,0.251550089,0.243070873,0.030046261,0.075115652,NA
Valeriana.tripteris,3-H,3,3,3,34.29,0,65.71,R/CR,3,2.4,0.1,3,47.3,0.2,3,20.1,0.6,10,1917,107,10,36,3,10,352,21,10,55,3,10,10,0.05,10,2,0,5,150,9,forb,0.072168784,0.007323682,0.051703009,0.176506891,0.263523138,0.18865861,0.172487872,0.015811388,0.134164079
Veratrum.album,4-G,3,5,1,75.42,12.81,11.77,C/CS,3,2.6,0.1,3,46.8,0.1,3,18.4,0.5,10,18767,2470,10,1210,185,10,5737,927,10,16,0.05,10,21,1,10,2,0,5,700,40,forb,0.066617339,0.003700963,0.047066598,0.416200022,0.483488733,0.51096939,0.009882118,0.15058465,0.127775313
Veronica.alpina,3-H,2,5,1,4.82,11.55,83.64,R,3,1.6,0.05,3,47.4,0.1,3,30.5,0.1,10,58,5,10,2,0.05,10,12,1,10,29,2,10,18,1,10,2,0,5,46,4,forb,0.054126588,0.003654116,0.005678855,0.272610143,0.079056942,0.263523138,0.218088114,0.175682092,0.194440694
Veronica.bellidioides,3-H,4,5,1,8.86,91.14,0,S,3,0.7,0.05,3,49.4,0.2,3,67.9,3.6,5,141,16,5,16,2,5,44,6,5,9,0.05,5,36,1,5,2,0,5,19,1,forb,0.123717915,0.007012351,0.091831854,0.25373821,0.279508497,0.304918361,0.0124226,0.062112999,0.117687788
Veronica.fruticans,7-Ch,4,4,2,2.72,85.76,11.52,S,3,1.4,0.05,3,47.6,0.3,3,34.2,0.7,11,47,3,11,4,0.05,11,13,1,11,12,0.05,11,31,1,11,2,0,1,100,NA,shrub (sub-),0.061858957,0.010916287,0.035451332,0.211699455,0.04145781,0.255124984,0.01381927,0.106987896,NA
Viola.calcarata,3-H,3,4,2,5.43,37.99,56.58,SR,3,4.1,0.1,3,46,0.05,3,11.4,0.2,10,58,4,10,3,0.05,10,16,2,10,19,1,10,20,0.05,10,2,0,5,20,4,forb,0.042245142,0.001882664,0.030386856,0.218088114,0.052704628,0.395284708,0.166435666,0.007905694,0.447213595
